,2019,2018,2017,2014,2015,2014,2013,2012,2011,Medie
AL,0,84,0,0,0,0,0,0,0,9.333333333333334
AT,90,89,89,85,82,81,81,79,75,83.44444444444444
BA,72,69,0,0,0,0,0,0,0,15.666666666666666
BE,90,87,86,85,82,83,80,78,77,83.11111111111111
BG,75,72,67,64,59,57,54,51,45,60.44444444444444
CH,96,0,93,0,0,91,0,0,0,31.11111111111111
CY,90,86,79,74,71,69,65,62,57,72.55555555555556
CZ,87,86,83,82,79,78,73,73,67,78.66666666666667
DE,95,94,93,92,90,89,88,85,83,89.88888888888889
DK,95,93,97,94,92,93,93,92,90,93.22222222222223
EA,90,89,87,85,83,81,79,76,74,82.66666666666667
EE,90,90,88,86,88,83,79,74,69,83.0
EL,79,76,71,69,68,66,56,54,50,65.44444444444444
ES,91,86,83,82,79,74,70,67,63,77.22222222222223
FI,94,94,94,92,90,90,89,87,84,90.44444444444444
FR,90,89,86,86,83,83,82,80,76,83.88888888888889
HR,81,82,76,77,77,68,65,66,61,72.55555555555556
HU,86,83,82,79,76,73,70,67,63,75.44444444444444
IE,91,89,88,87,85,82,82,81,78,84.77777777777777
IS,98,99,98,0,0,96,96,95,93,75.0
IT,85,84,81,79,75,73,69,63,62,74.55555555555556
LT,82,78,75,72,68,66,65,60,60,69.55555555555556
LU,95,93,97,97,97,96,94,93,91,94.77777777777777
LV,85,82,79,77,76,73,72,69,64,75.22222222222223
ME,74,72,71,0,0,0,0,55,0,30.22222222222222
MK,82,79,74,75,69,68,65,58,0,63.333333333333336
MT,86,84,85,81,81,80,78,77,75,80.77777777777777
NL,98,98,98,97,96,96,95,94,94,96.22222222222223
NO,98,96,97,97,97,93,94,93,92,95.22222222222223
PL,87,84,82,80,76,75,72,70,67,77.0
PT,81,79,77,74,70,65,62,61,58,69.66666666666667
RO,84,81,76,72,68,61,58,54,47,66.77777777777777
RS,80,73,68,0,64,0,0,0,0,31.666666666666668
SE,96,93,95,94,91,90,93,92,91,92.77777777777777
SI,89,87,82,78,78,77,76,74,73,79.33333333333333
SK,82,81,81,81,79,78,78,75,71,78.44444444444444
TR,88,84,81,76,70,60,49,47,0,61.666666666666664
UK,96,95,94,93,91,90,88,87,83,90.77777777777777
XK,93,93,89,0,0,0,0,0,0,30.555555555555557
